timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610539727916,0,Bing Kittens,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 40: http://bing.com/images/search?q=kittens& =& =,Load Test 1-1,text,false,Response was null,1197,0,1,6,http://bing.com/images/search?q=kittens& =& =,0,0,0
1610539727791,315,FTP Request,000,java.io.FileNotFoundException: C:\Program Files\apache-jmeter-5.4\FTP_Output.txt (Access is denied),FTP Test 5-1,,false,,0,0,1,5,ftp://test.rebex.net:21/readme.txt (Ascii)  -> C:\Program Files\apache-jmeter-5.4\FTP_Output.txt,174,0,0
1610539728271,0,Bing Kittens,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 40: http://bing.com/images/search?q=kittens& =& =,Load Test 1-2,text,false,Response was null,1197,0,1,5,http://bing.com/images/search?q=kittens& =& =,0,0,0
1610539728278,348,GetPokemon1,200,OK,PokemonTask1 2-2,text,true,,200769,136,2,7,https://pokeapi.co/api/v2/pokemon/bulbasaur,197,0,93
1610539727921,731,GetPokemon1,200,OK,PokemonTask1 2-1,text,true,,200769,136,2,7,https://pokeapi.co/api/v2/pokemon/bulbasaur,625,0,439
1610539728768,0,Bing Kittens,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 40: http://bing.com/images/search?q=kittens& =& =,Load Test 1-3,text,false,Response was null,1197,0,1,8,http://bing.com/images/search?q=kittens& =& =,0,0,0
1610539728292,593,Transaction Controller,200,"Number of samples in transaction : 3, number of failing samples : 0",PokemonTask3 4-2,,true,,640727,408,3,10,null,0,1,79
1610539728293,347,HTTP Request,200,OK,PokemonTask3 4-2,text,true,,200769,136,2,7,https://pokeapi.co/api/v2/pokemon/bulbasaur,225,0,79
1610539728640,109,HTTP Request,200,OK,PokemonTask3 4-2,text,true,,218636,137,2,7,https://pokeapi.co/api/v2/pokemon/charmander,49,0,0
1610539728749,137,HTTP Request,200,OK,PokemonTask3 4-2,text,true,,221322,135,3,10,https://pokeapi.co/api/v2/pokemon/squirtle,65,0,0
