timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610548127788,318,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-297,text,true,,69524,224,16,16,http://www.bing.com/,131,0,98
1610548127788,134,HTTP Request-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-297,,true,,254,110,16,16,http://bing.com/,131,0,98
1610548127926,180,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group 1-297,text,true,,69270,114,16,16,http://www.bing.com/,96,0,40
1610548127798,340,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-294,text,true,,69522,224,17,17,http://www.bing.com/,121,0,88
1610548127798,124,HTTP Request-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-294,,true,,252,110,17,17,http://bing.com/,121,0,88
1610548127927,211,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group 1-294,text,true,,69270,114,17,17,http://www.bing.com/,115,0,59
1610548127832,315,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-293,text,true,,69524,224,17,17,http://www.bing.com/,87,0,54
1610548127832,90,HTTP Request-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-293,,true,,254,110,17,17,http://bing.com/,87,0,54
1610548127927,220,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group 1-293,text,true,,69270,114,17,17,http://www.bing.com/,95,0,39
1610548127788,441,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-298,text,true,,69521,224,19,19,http://www.bing.com/,131,0,98
1610548127788,134,HTTP Request-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-298,,true,,252,110,19,19,http://bing.com/,131,0,98
1610548127926,303,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group 1-298,text,true,,69269,114,19,19,http://www.bing.com/,119,0,60
1610548127865,373,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-292,text,true,,69515,224,20,20,http://www.bing.com/,56,0,21
1610548127865,57,HTTP Request-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-292,,true,,252,110,20,20,http://bing.com/,56,0,21
1610548127926,312,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group 1-292,text,true,,69263,114,20,20,http://www.bing.com/,130,0,60
1610548127789,449,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-299,text,true,,69523,224,20,20,http://www.bing.com/,131,0,97
1610548127789,132,HTTP Request-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-299,,true,,252,110,20,20,http://bing.com/,131,0,97
1610548127927,311,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group 1-299,text,true,,69271,114,20,20,http://www.bing.com/,183,0,59
1610548127789,459,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-300,text,true,,69524,224,20,20,http://www.bing.com/,129,0,96
1610548127789,132,HTTP Request-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-300,,true,,254,110,20,20,http://bing.com/,129,0,96
1610548127926,322,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group 1-300,text,true,,69270,114,20,20,http://www.bing.com/,189,0,60
1610548127932,316,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-290,text,true,,69522,224,20,20,http://www.bing.com/,56,0,34
1610548127932,56,HTTP Request-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-290,,true,,252,110,20,20,http://bing.com/,56,0,34
1610548127989,259,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group 1-290,text,true,,69270,114,20,20,http://www.bing.com/,87,0,25
1610548127788,466,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-296,text,true,,69521,224,20,20,http://www.bing.com/,133,0,98
1610548127788,134,HTTP Request-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-296,,true,,252,110,20,20,http://bing.com/,133,0,98
1610548127790,464,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-295,text,true,,69517,224,20,20,http://www.bing.com/,129,0,96
1610548127926,328,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group 1-296,text,true,,69269,114,20,20,http://www.bing.com/,198,0,60
1610548127790,132,HTTP Request-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-295,,true,,252,110,20,20,http://bing.com/,129,0,96
1610548127926,328,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group 1-295,text,true,,69265,114,20,20,http://www.bing.com/,198,0,61
1610548127967,303,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-289,text,true,,69524,224,21,21,http://www.bing.com/,48,0,20
1610548127967,48,HTTP Request-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-289,,true,,252,110,21,21,http://bing.com/,48,0,20
1610548128016,254,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group 1-289,text,true,,69272,114,21,21,http://www.bing.com/,90,0,27
1610548127899,372,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-291,text,true,,69517,224,21,21,http://www.bing.com/,50,0,29
1610548127899,50,HTTP Request-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-291,,true,,254,110,21,21,http://bing.com/,50,0,29
1610548127950,321,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group 1-291,text,true,,69263,114,21,21,http://www.bing.com/,188,0,37
1610548127999,307,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-288,text,true,,69519,224,22,22,http://www.bing.com/,50,0,28
1610548127999,50,HTTP Request-0,301,Moved Permanently,jp@gc - Ultimate Thread Group 1-288,,true,,254,110,22,22,http://bing.com/,50,0,28
1610548128050,256,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group 1-288,text,true,,69265,114,22,22,http://www.bing.com/,188,0,23
